Entry_ID,Domesticated,IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,General_Category_or_Family,C4_Plant,Sampled_Element,Cultural_Horizon,Species,Site_Description,Genus,Absolute_Chronology,General_Category_or_Family.1,Modern_Country,cronologia,%C,%N,C:N,peso_mg,pre-treatment,contexto,method
14,yes,-25.4,1.6,44.413343,9.162563,Fabaceae,no,Seed,,faba,Multi-stratified open site,Vicia ,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Fabaceae,Italy,,,,,,,,
15,yes,-25.9,1.5,44.413343,9.162563,Fabaceae,no,Seed,,faba,Multi-stratified open site,Vicia ,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Fabaceae,Italy,,,,,,,,
16,yes,-26.0,1.0,44.413343,9.162563,Poaceae,no,Seed,,vulgare,Multi-stratified open site,Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Poaceae,Italy,,,,,,,,
17,yes,-26.0,1.3,44.413343,9.162563,Poaceae,no,Seed,,vulgare,Multi-stratified open site,Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Poaceae,Italy,,,,,,,,
18,yes,-24.8,2.3,44.413343,9.162563,Poaceae,no,Seed,,,Multi-stratified open site,Triticum/Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Poaceae,Italy,,,,,,,,
19,yes,-24.6,1.2,44.413343,9.162563,Poaceae,no,Seed,,,Multi-stratified open site,Triticum/Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Poaceae,Italy,,,,,,,,
20,yes,-24.8,0.1,44.413343,9.162563,Poaceae,no,Seed,,,Multi-stratified open site,Triticum/Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Poaceae,Italy,,,,,,,,
21,yes,-23.9,1.5,44.413343,9.162563,Poaceae,no,Seed,,,Multi-stratified open site,Triticum/Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Poaceae,Italy,,,,,,,,
22,yes,-24.5,-0.2,44.413343,9.162563,Poaceae,no,Seed,,,Multi-stratified open site,Triticum/Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Poaceae,Italy,,,,,,,,
23,yes,-26.0,-0.8,,,Poaceae,no,,,durum,,Triticum ,,Poaceae,Italy,,,,,,,,
24,yes,-25.9,1.5,,,Poaceae,no,,,vulgare,,Hordeum,,Poaceae,Italy,,,,,,,,
