Entry_ID,Archaeological_Site,IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,General_Category_or_Family,Sampled_Element,Cultural_Horizon,Species,Genus,Absolute_Chronology,Modern_Country,Mediterranean_Basin,Fecha_Min_BP_corr,Fecha_Max_BP_corr,Chronological_Period_corr,Chronological_Period_clean,Cereal
14,Castellaro dell’Uscio ,-25.4,1.6,44.413343,9.162563,Fabaceae,Seed,,faba,Vicia ,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Italy,Western_Med,5450.0,4950.0,Chalcolithic,Chalcolithic,other
15,Castellaro dell’Uscio ,-25.9,1.5,44.413343,9.162563,Fabaceae,Seed,,faba,Vicia ,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Italy,Western_Med,5450.0,4950.0,Chalcolithic,Chalcolithic,other
16,Castellaro dell’Uscio ,-26.0,1.0,44.413343,9.162563,Poaceae,Seed,,vulgare,Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Italy,Western_Med,5450.0,4950.0,Chalcolithic,Chalcolithic,barley
17,Castellaro dell’Uscio ,-26.0,1.3,44.413343,9.162563,Poaceae,Seed,,vulgare,Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Italy,Western_Med,5450.0,4950.0,Chalcolithic,Chalcolithic,barley
18,Castellaro dell’Uscio ,-24.8,2.3,44.413343,9.162563,Poaceae,Seed,,,Triticum/Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Italy,Western_Med,5450.0,4950.0,Chalcolithic,Chalcolithic,wheat
19,Castellaro dell’Uscio ,-24.6,1.2,44.413343,9.162563,Poaceae,Seed,,,Triticum/Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Italy,Western_Med,5450.0,4950.0,Chalcolithic,Chalcolithic,wheat
20,Castellaro dell’Uscio ,-24.8,0.1,44.413343,9.162563,Poaceae,Seed,,,Triticum/Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Italy,Western_Med,5450.0,4950.0,Chalcolithic,Chalcolithic,wheat
21,Castellaro dell’Uscio ,-23.9,1.5,44.413343,9.162563,Poaceae,Seed,,,Triticum/Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Italy,Western_Med,5450.0,4950.0,Chalcolithic,Chalcolithic,wheat
22,Castellaro dell’Uscio ,-24.5,-0.2,44.413343,9.162563,Poaceae,Seed,,,Triticum/Hordeum,3500 - 3000 BCE ; 3000 - 2500 BCE ; 2500 - 2000 BCE ; 2000  2500 BCE,Italy,Western_Med,5450.0,4950.0,Chalcolithic,Chalcolithic,wheat
23,Abba ’e Perdu,-26.0,-0.8,,,Poaceae,,,durum,Triticum ,,Italy,unknown,,,Historical_Other,Other,wheat
