IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,Chronological_Period_clean,Mediterranean_Basin
-21.9,7.9,43.38296,5.164636,Late_Neolithic,Western_Med
-24.0,5.91,35.2994728,25.1616528,Late_Neolithic,Eastern_Med
-21.7,2.2,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.1,0.9,43.894131,5.114862,Late_Neolithic,Western_Med
-24.1,8.4,40.640317,22.935272,Middle_Late_Bronze_Age,Central_Med
-23.31,5.63,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-23.8,0.8,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.5,2.01,36.683333,39.933333,Other,Eastern_Med
-24.01,2.33,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-23.23,5.87,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-24.6,1.4,40.418397,22.591694,Late_Neolithic,Central_Med
0.63,0.24,35.29848,25.159555,Neolithic,Eastern_Med
-22.71,1.69,38.285047,26.702271,Chalcolithic,Eastern_Med
-23.1,2.8,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.1,2.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.9,-1.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.3,1.2,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.43,3.41,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-24.74,2.9,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-24.7,4.3,40.640317,22.935272,Middle_Late_Bronze_Age,Central_Med
-21.6,7.7,42.542984,-2.580537,Late_Iron_Age,Western_Med
-24.06,4.4,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-24.3,0.1,37.062972,22.420611,Late_Neolithic,Central_Med
-24.2,2.5,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-26.4,2.4,40.640317,22.935272,Middle_Late_Bronze_Age,Central_Med
-23.2,4.5,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.9,3.2,35.2994728,25.1616528,Early_Iron_Age,Eastern_Med
-24.3,-0.8,41.8857261,12.7156425,Late_Iron_Age,Central_Med
0.62,0.08,35.29848,25.159555,Early_Iron_Age,Eastern_Med
-23.87,-3.0,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-22.7,8.41,35.2994728,25.1616528,Late_Neolithic,Eastern_Med
-24.2,1.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.2,-1.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.8,5.8,35.2994728,25.1616528,Early_Iron_Age,Eastern_Med
-24.6,-2.4,37.062972,22.420611,Late_Neolithic,Central_Med
-24.2,2.9,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.9,3.5,41.496667,13.489629,Early_Bronze_Age,Central_Med
-22.58,1.45,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
