Entry_ID;Submitter_ID;Reference;Link;DOI;Publication_Year;Compilation_Reference;Compilation_Link;Compilation_DOI;Compilation_Publication_Year;Context_ID;Individual_ID;Sample_ID;Radiocarbon_ID;General_Category_or_Family;Genus;Species;Domesticated;Common_Name;C4_Plant;Sampled_Element;Modern_Country;Site_Name;Site_Description;Within_15km_from_the_Coast;Absolute_Chronology;Relative_Chronology;Cultural_Horizon;Pottery_Style;Lithic_Industry;Metallurgy;Local_Rule;Substratus;Influences;Latitude_N;Longitude_E;Exact_Site_Location;Radius;Min_Year;Max_Year;d14C_Dating _Proxy;Dating_Method;d14C;d14C_unc;IRMS_Lab_Institution_Stable_Carbon_and_Nitrogen_Measurement;Nr_of_Samples_Collagen_d13C_and_d15N;Nr_of_Seeds_Collagen_d13C_and_d15N;IRMS_d13C_Collagen;IRMS_d13C_Collagen_unc;d15N_Collagen;d15N_Collagen_unc;Collagen_Yield;%C;%N;Atomic_CN_Ratio;IRMS_Lab_Institution_Stable_Sulphur_Measurement;Nr_of_Samples_d34S;d34S_Collagen;d34S_Collagen_unc;%S;Atomic_C:S_Ratio;Atomic_N:S_Ratio;IRMS __Institution_Stable_Carbon_and_Oxygen_Measurement;Nr_of_Samples_d13C_and_d18O;Nr_of_Seeds_d13C_and_d18O;d13C_Carbonate;d13C_Carbonate_unc;d18O_VPDB;d18O_VPDB_unc;d18O_VSMOW;d18O_VSMOW_unc;d18O_Drinking_Water;Lab_Institution_Stable_Strontium_Measurement;Nr_of_Samples_87Sr/86Sr;87Sr/86Sr ;87Sr/86Sr_unc;Sr_ppm;84Sr/86Sr;84Sr/86Sr_unc;;;;;;;;;;;;;;
1;Martina Farese;Sabatini, S., Frei, K. M., De Grossi Mazzorin, J., Cardarelli, A., Pellacani, G., & Frei, R. (2022). Investigating sheep mobility at Montale, Italy, through strontium isotope analyses. Journal of Archaeological Science, Reports, 41(103298), 103298. doi:10.1016/j.jasrep.2021.103298;https://doi.org/10.1016/j.jasrep.2021.103298;10.1016/j.jasrep.2021.103298;2022;;;;;;ss35;KF1043;;Rosaceae;Rubus;spp.;;Blackberry;no;Leaf;Italy;Dolo;;No;;Modern;;;;;;;;44.3735280;10.6133610;yes;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danish Centre for Isotope Geology, University of Copenhagen;1;0.708841;0.00;;;;;;;;;;;;;;;;;
2;Martina Farese;Sabatini, S., Frei, K. M., De Grossi Mazzorin, J., Cardarelli, A., Pellacani, G., & Frei, R. (2022). Investigating sheep mobility at Montale, Italy, through strontium isotope analyses. Journal of Archaeological Science, Reports, 41(103298), 103298. doi:10.1016/j.jasrep.2021.103298;https://doi.org/10.1016/j.jasrep.2021.103298;10.1016/j.jasrep.2021.103298;2022;;;;;;ss37;KF1044;;Rosaceae;Rubus;spp.;;Blackberry;no;Leaf;Italy;Secchia;;No;;Modern;;;;;;;;44.4060000;10.6158890;yes;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danish Centre for Isotope Geology, University of Copenhagen;1;0.708366;0.00;;;;;;;;;;;;;;;;;
3;Martina Farese;Sabatini, S., Frei, K. M., De Grossi Mazzorin, J., Cardarelli, A., Pellacani, G., & Frei, R. (2022). Investigating sheep mobility at Montale, Italy, through strontium isotope analyses. Journal of Archaeological Science, Reports, 41(103298), 103298. doi:10.1016/j.jasrep.2021.103298;https://doi.org/10.1016/j.jasrep.2021.103298;10.1016/j.jasrep.2021.103298;2022;;;;;;ss21;KF934;;Rhamnaceae;Frangula;alnus;;Alder buckthorn;no;Leaf;Italy;Guerro;;No;;Modern;;;;;;;;44.5041090;10.9470390;yes;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danish Centre for Isotope Geology, University of Copenhagen;1;0.708999;0.00;;;;;;;;;;;;;;;;;
4;Martina Farese;Sabatini, S., Frei, K. M., De Grossi Mazzorin, J., Cardarelli, A., Pellacani, G., & Frei, R. (2022). Investigating sheep mobility at Montale, Italy, through strontium isotope analyses. Journal of Archaeological Science, Reports, 41(103298), 103298. doi:10.1016/j.jasrep.2021.103298;https://doi.org/10.1016/j.jasrep.2021.103298;10.1016/j.jasrep.2021.103298;2022;;;;;;ss22;KF935;;Betulaceae;Corylus;avellana;;Hazelnut;no;Leaf;Italy;Montale;;No;;Modern;;;;;;;;44.5732520;10.9048920;yes;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danish Centre for Isotope Geology, University of Copenhagen;1;0.708809;0.00;;;;;;;;;;;;;;;;;
5;Martina Farese;Sabatini, S., Frei, K. M., De Grossi Mazzorin, J., Cardarelli, A., Pellacani, G., & Frei, R. (2022). Investigating sheep mobility at Montale, Italy, through strontium isotope analyses. Journal of Archaeological Science, Reports, 41(103298), 103298. doi:10.1016/j.jasrep.2021.103298;https://doi.org/10.1016/j.jasrep.2021.103298;10.1016/j.jasrep.2021.103298;2022;;;;;;ss23;KF936;;Rosaceae;Rosa;spp.;no;Wild rose;no;Leaf;Italy;Ca' Tassi;;No;;Modern;;;;;;;;44.5130610;10.8215800;yes;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danish Centre for Isotope Geology, University of Copenhagen;1;0.708637;0.00;;;;;;;;;;;;;;;;;
6;Martina Farese;Sabatini, S., Frei, K. M., De Grossi Mazzorin, J., Cardarelli, A., Pellacani, G., & Frei, R. (2022). Investigating sheep mobility at Montale, Italy, through strontium isotope analyses. Journal of Archaeological Science, Reports, 41(103298), 103298. doi:10.1016/j.jasrep.2021.103298;https://doi.org/10.1016/j.jasrep.2021.103298;10.1016/j.jasrep.2021.103298;2022;;;;;;ss24;KF937;;Oleaceae;Fraxinus;spp.;;Fraxinus;no;Leaf;Italy;Montale;;No;;Modern;;;;;;;;44.5732520;10.9048920;yes;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danish Centre for Isotope Geology, University of Copenhagen;1;0.709265;0.00;;;;;;;;;;;;;;;;;
7;Martina Farese;Sabatini, S., Frei, K. M., De Grossi Mazzorin, J., Cardarelli, A., Pellacani, G., & Frei, R. (2022). Investigating sheep mobility at Montale, Italy, through strontium isotope analyses. Journal of Archaeological Science, Reports, 41(103298), 103298. doi:10.1016/j.jasrep.2021.103298;https://doi.org/10.1016/j.jasrep.2021.103298;10.1016/j.jasrep.2021.103298;2022;;;;;;ss25;KF938;;Salicaceae;Populus;nigra;;Black poplar;no;Leaf;Italy;Secchia;;No;;Modern;;;;;;;;44.4060000;10.6158890;yes;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danish Centre for Isotope Geology, University of Copenhagen;1;0.70853;0.00;;;;;;;;;;;;;;;;;
8;Martina Farese;Sabatini, S., Frei, K. M., De Grossi Mazzorin, J., Cardarelli, A., Pellacani, G., & Frei, R. (2022). Investigating sheep mobility at Montale, Italy, through strontium isotope analyses. Journal of Archaeological Science, Reports, 41(103298), 103298. doi:10.1016/j.jasrep.2021.103298;https://doi.org/10.1016/j.jasrep.2021.103298;10.1016/j.jasrep.2021.103298;2022;;;;;;ss26;KF939;;Equisetaceae;Equisetum;arvense;;Field horsetail ;no;;Italy;Grizzaga;;No;;Modern;;;;;;;;44.5730330;10.9049260;yes;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danish Centre for Isotope Geology, University of Copenhagen;1;0.709759;0.00;;;;;;;;;;;;;;;;;
9;Martina Farese;Sabatini, S., Frei, K. M., De Grossi Mazzorin, J., Cardarelli, A., Pellacani, G., & Frei, R. (2022). Investigating sheep mobility at Montale, Italy, through strontium isotope analyses. Journal of Archaeological Science, Reports, 41(103298), 103298. doi:10.1016/j.jasrep.2021.103298;https://doi.org/10.1016/j.jasrep.2021.103298;10.1016/j.jasrep.2021.103298;2022;;;;;;ss27;KF940;;Oleaceae;Fraxinus;spp.;;Raywood ash;no;Leaf;Italy;Tiepido;;No;;Modern;;;;;;;;44.5579800;10.9310740;yes;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danish Centre for Isotope Geology, University of Copenhagen;1;0.708521;0.00;;;;;;;;;;;;;;;;;
10;Martina Farese;Sabatini, S., Frei, K. M., De Grossi Mazzorin, J., Cardarelli, A., Pellacani, G., & Frei, R. (2022). Investigating sheep mobility at Montale, Italy, through strontium isotope analyses. Journal of Archaeological Science, Reports, 41(103298), 103298. doi:10.1016/j.jasrep.2021.103298;https://doi.org/10.1016/j.jasrep.2021.103298;10.1016/j.jasrep.2021.103298;2022;;;;;;ss28;KF941;;Rosaceae;Rosa;spp.;;Rose;no;Leaf;Italy;Montale;;No;;Modern;;;;;;;;44.5732520;10.9048920;yes;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danish Centre for Isotope Geology, University of Copenhagen;1;0.708701;0.00;;;;;;;;;;;;;;;;;
